 | 275  | Rotom-Mow          |  0.07800% | 231    |  0.078% | 80     |  0.168% |
 | 276  | Bulbasaur          |  0.05504% | 163    |  0.055% | 79     |  0.166% |
 | 277  | Vanilluxe          |  0.07598% | 225    |  0.076% | 79     |  0.166% |
 | 278  | Amoonguss          |  0.07091% | 210    |  0.071% | 79     |  0.166% |
 | 279  | Omastar            |  0.07564% | 224    |  0.076% | 77     |  0.162% |
 | 280  | Mismagius          |  0.06618% | 196    |  0.066% | 77     |  0.162% |
 | 281  | Bibarel            |  0.07395% | 219    |  0.074% | 75     |  0.158% |
 | 282  | Galvantula         |  0.06348% | 188    |  0.063% | 74     |  0.156% |
 | 283  | Lanturn            |  0.08442% | 250    |  0.084% | 74     |  0.156% |
 | 284  | Victreebel         |  0.03714% | 110    |  0.037% | 73     |  0.153% |
 | 285  | Dodrio             |  0.04761% | 141    |  0.048% | 73     |  0.153% |
 | 286  | Swoobat            |  0.05268% | 156    |  0.053% | 73     |  0.153% |
 | 287  | Rotom-Fan          |  0.05943% | 176    |  0.059% | 72     |  0.151% |
 | 288  | Moltres            |  0.09759% | 289    |  0.098% | 72     |  0.151% |
 | 289  | Marill             |  0.03816% | 113    |  0.038% | 69     |  0.145% |
 | 290  | Nidoqueen          |  0.06517% | 193    |  0.065% | 68     |  0.143% |
 | 291  | Venomoth           |  0.07834% | 232    |  0.078% | 68     |  0.143% |
 | 292  | Onix               |  0.08678% | 257    |  0.087% | 68     |  0.143% |
 | 293  | Zebstrika          |  0.03681% | 109    |  0.037% | 67     |  0.141% |
 | 294  | Klinklang          |  0.06922% | 205    |  0.069% | 67     |  0.141% |
 | 295  | Barbaracle         |  0.05166% | 153    |  0.052% | 67     |  0.141% |
 | 296  | Bronzong           |  0.05369% | 159    |  0.054% | 66     |  0.139% |
 | 297  | Ariados            |  0.03681% | 109    |  0.037% | 65     |  0.137% |
 | 298  | Beheeyem           |  0.07530% | 223    |  0.075% | 64     |  0.135% |
 | 299  | Wynaut             |  0.03681% | 109    |  0.037% | 64     |  0.135% |
 | 300  | Tangela            |  0.06450% | 191    |  0.064% | 63     |  0.132% |
 | 301  | Meowstic           |  0.05639% | 167    |  0.056% | 62     |  0.130% |
 | 302  | Slowking           |  0.04424% | 131    |  0.044% | 62     |  0.130% |
 | 303  | Aurorus            |  0.06078% | 180    |  0.061% | 61     |  0.128% |
 | 304  | Tyrantrum          |  0.07226% | 214    |  0.072% | 61     |  0.128% |
 | 305  | Charmander         |  0.03613% | 107    |  0.036% | 58     |  0.122% |
 | 306  | Alomomola          |  0.06314% | 187    |  0.063% | 58     |  0.122% |
 | 307  | Marshtomp          |  0.05234% | 155    |  0.052% | 57     |  0.120% |
 | 308  | Cryogonal          |  0.07361% | 218    |  0.074% | 57     |  0.120% |
 | 309  | Gogoat             |  0.07057% | 209    |  0.071% | 56     |  0.118% |
