 | 238  | Pangoro            |  1.42013% | 2067   |  1.420% | 1459   |  1.387% |
 | 239  | Xatu               |  1.42013% | 2067   |  1.420% | 1533   |  1.457% |
 | 240  | Gliscor            |  1.41876% | 2065   |  1.419% | 1540   |  1.464% |
 | 241  | Miltank            |  1.41532% | 2060   |  1.415% | 1347   |  1.280% |
 | 242  | Articuno           |  1.41257% | 2056   |  1.413% | 1381   |  1.313% |
 | 243  | Dragonite          |  1.41189% | 2055   |  1.412% | 1284   |  1.220% |
 | 244  | Staraptor          |  1.40570% | 2046   |  1.406% | 1366   |  1.298% |
 | 245  | Mienshao           |  1.39883% | 2036   |  1.399% | 1508   |  1.433% |
 | 246  | Arceus             |  1.39677% | 2033   |  1.397% | 1379   |  1.311% |
 | 247  | Scrafty            |  1.38921% | 2022   |  1.389% | 1419   |  1.349% |
 | 248  | Machamp            |  1.38853% | 2021   |  1.389% | 1461   |  1.389% |
 | 249  | Gothitelle         |  1.37616% | 2003   |  1.376% | 1443   |  1.371% |
 | 250  | Jynx               |  1.35967% | 1979   |  1.360% | 1406   |  1.336% |
 | 251  | Arceus-Electric    |  1.35967% | 1979   |  1.360% | 1319   |  1.254% |
 | 252  | Thundurus-Therian  |  1.35623% | 1974   |  1.356% | 1413   |  1.343% |
 | 253  | Suicune            |  1.35349% | 1970   |  1.353% | 1438   |  1.367% |
 | 254  | Froslass           |  1.33837% | 1948   |  1.338% | 1557   |  1.480% |
 | 255  | Vaporeon           |  1.32669% | 1931   |  1.327% | 1417   |  1.347% |
 | 256  | Aurorus            |  1.31432% | 1913   |  1.314% | 1255   |  1.193% |
 | 257  | Arceus-Dark        |  1.30952% | 1906   |  1.309% | 1246   |  1.184% |
 | 258  | Arceus-Ground      |  1.30006% | 1893   |  1.301% | 1365   |  1.297% |
 | 259  | Roserade           |  1.27516% | 1856   |  1.275% | 1276   |  1.213% |
 | 260  | Chesnaught         |  1.20440% | 1753   |  1.204% | 1374   |  1.306% |
 | 261  | Regirock           |  1.12951% | 1644   |  1.129% | 1304   |  1.239% |
 | 262  | Sceptile           |  1.12745% | 1641   |  1.127% | 1136   |  1.080% |
 | 263  | Ampharos           |  1.12607% | 1639   |  1.126% | 1178   |  1.120% |
 | 264  | Pidgeot            |  1.10821% | 1613   |  1.108% | 1185   |  1.126% |
 | 265  | Sableye            |  1.09172% | 1589   |  1.092% | 1260   |  1.198% |
 | 266  | Beedrill           |  1.08554% | 1580   |  1.086% | 1179   |  1.121% |
 | 267  | Metagross          |  1.07454% | 1564   |  1.075% | 1082   |  1.028% |
 | 268  | Houndoom           |  1.07454% | 1564   |  1.075% | 1037   |  0.986% |
 | 269  | Absol              |  1.04844% | 1526   |  1.048% | 1062   |  1.009% |
 | 270  | Manectric          |  1.03744% | 1510   |  1.037% | 1184   |  1.125% |
 | 271  | Aerodactyl         |  1.03195% | 1502   |  1.032% | 1056   |  1.004% |
 | 272  | Medicham           |  1.00653% | 1465   |  1.007% | 1109   |  1.054% |
 | 273  | Lopunny            |  0.96324% | 1402   |  0.963% | 1094   |  1.040% |
 | 274  | Charizard          |  0.95843% | 1395   |  0.958% | 986    |  0.937% |
 | 275  | Pinsir             |  0.95156% | 1385   |  0.952% | 901    |  0.856% |
 | 276  | Gallade            |  0.89042% | 1296   |  0.890% | 856    |  0.814% |
 | 277  | Altaria            |  0.87118% | 1268   |  0.871% | 880    |  0.836% |
 | 278  | Typhlosion         |  0.86637% | 1261   |  0.866% | 882    |  0.838% |
 | 279  | Sandslash          |  0.66575% | 969    |  0.666% | 756    |  0.719% |
 | 280  | Shiftry            |  0.60186% | 876    |  0.602% | 585    |  0.556% |
 | 281  | Ludicolo           |  0.58605% | 853    |  0.586% | 615    |  0.584% |
 | 282  | Manaphy            |  0.57643% | 839    |  0.576% | 596    |  0.566% |
 | 283  | Gorebyss           |  0.56475% | 822    |  0.565% | 560    |  0.532% |
 | 284  | Beartic            |  0.54208% | 789    |  0.542% | 471    |  0.448% |
 | 285  | Venusaur           |  0.30574% | 445    |  0.306% | 322    |  0.306% |
 | 286  | Pelipper           |  0.21024% | 306    |  0.210% | 230    |  0.219% |
 | 287  | Prinplup           |  0.18344% | 267    |  0.183% | 217    |  0.206% |
 | 288  | Arceus-Water       |  0.14978% | 218    |  0.150% | 148    |  0.141% |
 | 289  | Torterra           |  0.13397% | 195    |  0.134% | 149    |  0.142% |
 | 290  | Haunter            |  0.12161% | 177    |  0.122% | 129    |  0.123% |
 | 291  | Tangela            |  0.11130% | 162    |  0.111% | 127    |  0.121% |
 | 292  | Poliwrath          |  0.10237% | 149    |  0.102% | 107    |  0.102% |
 | 293  | Scyther            |  0.10168% | 148    |  0.102% | 114    |  0.108% |
 | 294  | Piloswine          |  0.09619% | 140    |  0.096% | 111    |  0.105% |
